,sentiment,content
377,neutral,Again check guys rock one
378,neutral,boo ca go I passed guard training lol
379,neutral,heedee You abandoned Twitter momma dots
380,neg,ARG Eirtaku got hit stupid bots So much porn kid friendly site
381,neg,You welcome Hey sent love way In hospital today surgery sort old motorbike accident
382,pos,Need pack CALI CALI Cannot wait Thinking glass wine order celebrate weekend vaca Still work morrow tho
383,neutral,haha im way lazy check phone oo michelle watching recruits
384,pos,Playing cards niece
385,neg,tryed day werent giving using
386,neutral,Looking window beautiful blue sky great forecast weekend good cinemas
387,neg,little sad school ended today moving going miss new friends year got hair cut
388,neg,Looking food home nothing
389,neutral,still shopping looking shoes
390,pos,Woohoo Well Done I started Macarena ing
391,neutral,neat pe plantation usual
392,neutral,reached plate get another bit toast realised id eaten nice feeling
393,neg,I NOT feel good today
394,pos,BARA BOOBS CLOSETS ADVENTURE aghgh ENOUGH muck mom baby Gary ku sudah
395,pos,amazing concert got really good video pictures
396,neg,Can guys adopt Yall always fun stuff Y take trips Miami go Arkansas
397,pos,I know snooker though I ate huge fans
398,neutral,Okay So Rose told phone shut might moving back Spokane What going
399,neutral,getting dressed go Granny another day twisting
400,pos,photos lovely Who knew talented photographer journalist
401,neg,Lucky u Im stuck rain
402,neg,Learned lesson hard way Lost USB stick backup month old
403,neg,advice yo happy dont pressure wash foot hurts worth really want skin foot FYI ow
404,neg,Am heading lovely Suffolk nice pub May tweet later hopefully I distracted
405,neutral,Cinema tonight half price Monday wink
406,pos,Google Wave looks cool I working guys I came ideas years ago
407,neg,working home gonna miss bowie people ESP YOU lyanna bondo 3 Cesar disgust I dunno I survive without SOSA
408,pos,try firefight first female fronted metal awesome Unbreakable album would good start
409,neg,In Seattle Washington im SOO hungry miss alaska
410,pos,Time school feelin good 5 AM jogs good aloha
411,neg,I think hope might put age limit next year back
412,pos,YAY GO TAYLOR SWIFT come australia
413,neg,still pretty depressed losing hello kitty necklace
414,neg,says Lo page doesnt exist
415,neg,sorry sucks got overtime check already today really tempted blow tomorrow
416,neutral,shift time bye biochem waah
417,neg,Infamous arrived today But
418,neg,Doesnt want get
419,neutral,lolly public script wait watch
420,pos,KILLED IT Oh leighton maester waved us
421,pos,lol mite able see facebook add Obviously I ca post blog
422,pos,good luck How exciting
423,pos,lees net op Twitter dat het Happy Star Wars day May ith jeez wat slept
424,neg,4 hours sleep migraine What wrong hate life
425,neg,people coming kill mouse monday mixed emotions mean lives desk drawer
426,neutral,No betta nest I think despite heater gets chilly night
427,pos,Mothers day today
428,neg,love life guess im definately shooting good
429,neg,At hospital Uncle surgery heart attack
430,neg,On way exam nervous bah
431,neutral,oh I tried parmesan primavera last night made culinary abomination It pretty sad
432,pos,I proud na graduate friend We getting ready celebrate tonight It international ordeal
433,neutral,Britain got good Weather I wish I
434,pos,awesome Girl Scout Day Dodger stadium two awesome olympic athletes Joanna Hayes Heather And
435,pos,Laughing reason maybe 2 27 I tired haha Maybe go bed Night
436,pos,oh birthday happy birthday andre michelle
437,neutral,nothing evening MISSING LIFESTORY
438,neutral,oh u hit He family emergency lil delay Just ca wait see
439,neg,What wrong ski slopes They got coffee shops well know
440,neg,Johnny actually invited movies many things concert
441,pos,oh two falling silent I waiting track ur US version Next time maybe bow sunny california sounds good
442,pos,Am mix Galaxy weekend Love Friday show Sweet Make one listening
443,neg,Waiting bus The bus going uncomfortably hot I bet
444,pos,Dinner fam I missed
445,neutral,studying spite whatever Wonderful unforgettable weekend
446,neg,seeing sydney 12 days third time
447,neg,I parents got I started comfort eating
448,pos,called get nest time sure maybe come LA soon hella wana go Disneyland
449,neutral,3 new videos ipod melted could replace
450,neg,I hve followers
451,neutral,hey asit thanks message
452,pos,yeah got ur text well ive summer break week far boring watch tennis matches
453,pos,I love picture hate kid But hey looking lol
454,neg,yeah like 5 00 types snakes wicked wicked wicked hot ink think like
455,pos,someone take LA I NEED TO SEE THE LEMON TREE
456,neutral,oh god lo AND MARC ANTHONY WERE AT MY OLD SCHOOL GRADUATION right back UPSET
457,neg,Kev fuck I stuck estate working
458,neutral,I put real pic I going miss avatar
459,pos,happy haha I know would
460,neutral,Got caught rain 7 people Now probably gunna watch Smallville till I fall asleep
461,neg,wanna leave work already Not feelin day
462,neutral,Searching wavy hairstyle
463,pos,shit contact parents err
464,neutral,im sure joint wont mind sharing
465,neutral,Doctor Who finished
466,neg,Hey sorry headache
467,neg,reason 123 243 342 I like weathermen school program canceled due 2 rain Show 8 still rain weathermenRneverright
468,neutral,watching Harpers Island lol vodka involved
469,neutral,haha 18 sad ive got one go curse none friends liking TAI lol
470,neg,sad wife Florida sick Lexington
471,neutral,He wish would make frickin mind
472,neg,Golfing ended early
473,pos,My est Mothers Day Tomorrow
474,pos,I agree Reef got vote queensland
475,neg,Feeling sad today
476,pos,stapler haiku Whar Night Woo Hoo Yeah A beautiful night party Oops I stapler
477,neg,yep I damn
478,pos,trying find something tonight
479,pos,looking like magic
480,neg,right im peeps hope fixes twitter mobile tweet race twitter 4 days fail
481,neg,It year Ca catch wo NY till Oct 2010
482,pos,lol gotta share
483,pos,HAPPY mother DAY 2 IN WORLD love
484,pos,twice lucky havent even watched released today
485,neg,yes many cool things americans cannot watch
486,neg,Walmart bails sponsorship
487,neg,Just updated To Do List notepad need something else flick downloads Internet slow sluggish
488,neutral,Downloading mere 6 og 3 nearly instantly 500KB
489,neutral,Laptop thrown paddy So bouncing half live set wav need new laptop new copy ableto hey ho MTFBWY
490,neutral,I wish right
491,pos,Good Night Happy Mother Day
492,pos,Thank I hope great rest day Have afternoon coffee yet
493,neg,I asleep brother woke asking I ate rest frosted mini whats I ca go back sleep
494,neg,Up already Noo
495,pos,A new baby How exciting Congrats advance
496,neutral,best way start day
497,pos,officially Back work systems running smoothly
498,pos,enjoying family time Hoping able make graceful exit enjoy friend time soon
499,neg,normal masseuse fully massage buttocks I swear quarter inch medical exam
500,neutral,Oh tonight Looking forward
501,neg,Ashley getting sick Ugh I losing voice Noo
502,pos,briliant May fourth starwarsday starways
503,pos,hills gunna different go designing etc
504,neutral,sorry I got u sick
505,neg,I hate going wasted 1 hour half say back pain probly depression stress duh I need fixed
506,neg,Rope withdrawal full effect one tie teaching demos one play But worst No one play
507,neutral,I trying sleep It working
508,neutral,Believe I super geek
509,neutral,Summer end For start haha
510,neutral,happened real time feed Now friend feed like Twitter website
511,pos,another week begins one got better last
512,neutral,kate leaving lonesome
513,pos,oh okay cool
514,neutral,Hehe It nice
515,pos,Home Friday makes
516,pos,Feeling pretty good morning Lets hope lasts day
517,neutral,watching gossip girl
518,neg,Is going TAI Ah I hope
519,pos,Good morning It going kick butt day
520,pos,Trying get drunk alexandre I love place Awesome cheap drinks And awesome people
521,pos,hahaha lol true always remember never remember date even day
522,pos,Listening nin working break ALMOST good show rock extra hard
523,neg,Im hungry cold
524,neg,exams 2 days prepared dead
525,neutral,cant say havee im james yesterday im learning quotes
526,neg,ITS RAINING ITS POURING spooning buddy
527,neutral,made som situps
528,pos,I honored hear name Breezy track hope u liked shit drunk bowling
529,neutral,No would say New gift services page HA
530,neg,That horrible day
531,neg,Spent last night A E ER Wife tangled wheels Daughter hit deck Dislocation fracture resulted
532,pos,vivian mine yummy
533,neg,god I need revise today I lazy
534,pos,Tinkling ivory keys grand piano tomorrow The small things life keep excited
535,neutral,Bring till I fall asleep
536,neg,In UK phone service oh yea still sick cough sniff
537,neg,Someone keyed car
538,neutral,How Follow Friday thing work I real followers
539,pos,goes one smirked cheers dave aka jak aka best chest ever
540,neutral,3wordsaftersex turn yet
541,neg,arrives mak With potholes I foresee wheel changing session Hai man
542,neutral,need get tickets though ink gonna happen
543,pos,follow shes lonely
544,neg,I wish I could go melbourne show parents wo let cries
545,neutral,HEY babe LOVE youu time
546,neg,Gah I sprained LEFT ankle Just I got torn ligament right foot Looks like back walking cane
547,neutral,wish I could say weather Mumbai Its hot horrible guess friday one reason
548,neg,fact room hot making feel sick
549,neutral,makes happy hear girl talk tweet nba could give nuggets love
550,pos,Haha I ca good vid tubey though
551,neg,I officially holiday A week Center parts internets bye peeps see I return
552,neutral,So going win Heineken Cup Just need know bet
553,pos,nice beta sports still news online madden
554,neg,Sitting traffic car gets rained Just washed Sunday Does weather know California
555,neutral,thanks adding glad
556,neg,I always hope die see old ones makes sad
557,neg,Doh In rush get Puma Open I got pulled So sad
558,neg,taking sad whole new level
559,pos,FOrt revoir base Hubs stationed pentagon I cant wait pug pups I love mine
560,neg,hahaha omg got 3 sleep
561,neutral,oo ok havent accepted friends request
562,neutral,Hahaha Sana someone selling full version Coding Workshop Photo Recovery Wizard ad Demo mode lang eh
563,neg,Unfortunately I see spreading poo
564,neutral,lol thats kind im eating
565,neutral,On way home
566,pos,I one Just got phone chanel I told tell u ur brat temptation Which I could pass Thanks
567,neg,Drunkduck misspelled bunny announcement twenty fifth page I sad
568,neutral,haha wish could call cant talk cause im sick lost voice
569,neg,haha teenage nightclub home im supposed fucking license touch
570,neg,Can feel headache growing
571,neg,never buy bagels feel unloved haha
572,neg,ugh gone 2 new phones screen black means texting
573,pos,Happy Mother Day fellow Montreal Blockheads moms I join club one day laughing loud
574,pos,Then It HappenED sorry Watching movie friends Fun fun
575,pos,ready go Milan see ya evening
576,neg,Haha I cunt Get Tickets For Dublin I Was soo Upset
577,neutral,thinks someone may keyed car Big scratches hood
578,neg,There spider room Save
579,neg,happy sad may soul rest peace
580,pos,I think I got fixed Woo hoo
581,neg,aww I HATE one
582,neg,although wear sunglasses see uncomfortable felt poor sam
583,neg,really gutwrenching So sad
584,pos,hopefully I get see hub next week LA really soon Ca wait
585,neutral,gotta go drive Dad around today back afternoon
586,pos,Watching nil playoff game tomorrow night anyone interested I know none
587,neg,dont think look without feeling heartbroken lao
588,pos,ah sometimes best kind day lazing around little cuppa
589,neg,I guess work fusion Otherwise boot directly Vista online banking sucks
590,pos,Whoo hoo Chuck Although gloomy today much better day
591,pos,look background I want future date like well I ever get
592,pos,wanted say I 3 ur music scene aesthetic Danger Radio Hopefully get see u guys 1 day
593,neutral,see 15 sec clip New Moon trailer online com check big tease though
594,pos,enjoying new car
595,pos,Got brainbox daily question right
596,neutral,Hey chalice How u Are going come Italy please tell yes
597,neg,Every time rains I see least 1 ambulance
598,neg,Indeed I get song however unable listen
599,pos,iwas mit se
600,pos,could worse u usually nite owl
